Focal species,Partner species,Medium,log10 ratio,log10 ratio std,T-test pvalue,Corrected pvalue,log10 pval,log10 adj. pval,Significance annot,Fresh
Ct,Oa,M9_malate+thiamine,-0.07353301908880638,0.12414629098383229,0.305019591774691,0.40959773752601364,-0.5156722645011671,-0.38764245091572525,,Fresh
Oa,Ct,M9_malate+thiamine,-1.3603295262040973,0.06798347156905378,2.459472273675752e-06,4.623807874510413e-05,-5.609158069001173,-4.335000219737492,***,Fresh
Ml,Oa,M9_malate+thiamine,1.672514392795712,0.43222040567375086,0.004086644718963539,0.017907733575272065,-2.388633116949653,-1.7469593755154131,*,Fresh
Oa,Ml,M9_malate+thiamine,0.33714371718482283,0.1364578935290904,0.013411487233357665,0.04288315121621815,-1.8725230594767657,-1.3677133085407933,*,Fresh
At,Ml,M9_malate+thiamine+biotin+cysteine+proline,0.003294123201415644,0.3070334729553702,0.9840876773314554,0.9840876773314554,-0.006966206360408504,-0.006966206360408504,,Fresh
Ml,At,M9_malate+thiamine+biotin+cysteine+proline,-0.892159058960253,0.25054911326248497,0.00040075818390505836,0.0034246608442795898,-3.3971176001316055,-2.4653824316901316,**,Fresh
Ct,Ml,M9_malate+thiamine+biotin+cysteine+proline,0.039002471185130005,0.14249962448984602,0.6038529976255558,0.6862568381956049,-0.2190687734489438,-0.16351331499967153,,Fresh
Ml,Ct,M9_malate+thiamine+biotin+cysteine+proline,-1.0849870154235877,0.27179668741535973,0.00026562145413320333,0.0024968416688521114,-3.575736850104576,-2.6026089965048773,**,Fresh
Ml,Oa,M9_malate+thiamine+biotin+cysteine+proline,-0.769969168427318,0.17687636753352487,0.0015418574884173758,0.007819113768941961,-2.8119557656197864,-2.1068424677929825,**,Fresh
Oa,Ml,M9_malate+thiamine+biotin+cysteine+proline,0.002439959322288132,0.15758186040198788,0.976310217165366,0.9840876773314554,-0.010412165738343457,-0.006966206360408504,,Fresh
