,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
327,Inoculum,0,745929.9457326098,At,,
328,A1,2,,At,Ct,At_mannose
329,A2,2,,At,Ml,At_mannose
330,A3,2,,At,Oa,At_mannose
331,A4,2,,At,Ct+Ml,At_mannose
332,A5,2,,At,Ct+Oa,At_mannose
333,A6,2,,At,Ml+Oa,At_mannose
334,A7,2,480000000.0,At,At,Ml_mannose
335,A8,2,,At,Ct,Ml_mannose
336,A9,2,,At,Oa,Ml_mannose
337,A10,2,400000000.0,At,At+Ct,Ml_mannose
338,A11,2,320000000.0,At,At+Oa,Ml_mannose
339,A12,2,,At,Ct+Oa,Ml_mannose
340,B1,2,,At,Ct,At_mannose
341,B2,2,,At,Ml,At_mannose
342,B3,2,,At,Oa,At_mannose
343,B4,2,,At,Ct+Ml,At_mannose
344,B5,2,,At,Ct+Oa,At_mannose
345,B6,2,,At,Ml+Oa,At_mannose
346,B7,2,480000000.0,At,At,Ml_mannose
347,B8,2,,At,Ct,Ml_mannose
348,B9,2,,At,Oa,Ml_mannose
349,B10,2,500000000.0,At,At+Ct,Ml_mannose
350,B11,2,280000000.0,At,At+Oa,Ml_mannose
351,B12,2,,At,Ct+Oa,Ml_mannose
352,C2,2,,At,Ml,At_mannose
353,C3,2,,At,Oa,At_mannose
354,C4,2,,At,Ct+Ml,At_mannose
355,C5,2,,At,Ct+Oa,At_mannose
356,C6,2,,At,Ml+Oa,At_mannose
357,C7,2,520000000.0,At,At,Ml_mannose
358,C8,2,,At,Ct,Ml_mannose
359,C9,2,,At,Oa,Ml_mannose
360,C10,2,360000000.0,At,At+Ct,Ml_mannose
361,C11,2,260000000.0,At,At+Oa,Ml_mannose
362,C12,2,,At,Ct+Oa,Ml_mannose
363,D1,2,440000000.0,At,At,Ct_isoleucine
364,D2,2,,At,Ml,Ct_isoleucine
365,D3,2,,At,Oa,Ct_isoleucine
366,D4,2,240000000.0,At,At+Ml,Ct_isoleucine
367,D5,2,440000000.0,At,At+Oa,Ct_isoleucine
368,D6,2,,At,Ml+Oa,Ct_isoleucine
369,D7,2,280000000.0,At,At,Oa_mannose
370,D8,2,,At,Ct,Oa_mannose
371,D9,2,,At,Ml,Oa_mannose
372,D10,2,160000000.0,At,At+Ct,Oa_mannose
373,D11,2,220000000.0,At,At+Ml,Oa_mannose
374,D12,2,,At,Ct+Ml,Oa_mannose
375,E1,2,460000000.0,At,At,Ct_isoleucine
376,E2,2,,At,Ml,Ct_isoleucine
377,E3,2,,At,Oa,Ct_isoleucine
378,E4,2,180000000.0,At,At+Ml,Ct_isoleucine
379,E5,2,280000000.0,At,At+Oa,Ct_isoleucine
380,E6,2,,At,Ml+Oa,Ct_isoleucine
381,E7,2,180000000.0,At,At,Oa_mannose
382,E8,2,,At,Ct,Oa_mannose
383,E9,2,,At,Ml,Oa_mannose
384,E10,2,220000000.0,At,At+Ct,Oa_mannose
385,E11,2,180000000.0,At,At+Ml,Oa_mannose
386,E12,2,,At,Ct+Ml,Oa_mannose
387,F1,2,420000000.0,At,At,Ct_isoleucine
388,F2,2,,At,Ml,Ct_isoleucine
389,F3,2,,At,Oa,Ct_isoleucine
390,F4,2,340000000.0,At,At+Ml,Ct_isoleucine
391,F5,2,440000000.0,At,At+Oa,Ct_isoleucine
392,F6,2,,At,Ml+Oa,Ct_isoleucine
393,F7,2,240000000.0,At,At,Oa_mannose
394,F8,2,,At,Ct,Oa_mannose
395,F9,2,,At,Ml,Oa_mannose
396,F10,2,200000000.0,At,At+Ct,Oa_mannose
397,F11,2,220000000.0,At,At+Ml,Oa_mannose
398,F12,2,,At,Ct+Ml,Oa_mannose
399,G1,2,30000000.0,At,At,No_CS
400,G2,2,40000000.0,At,At,No_CS
401,G3,2,44000000.0,At,At,No_CS
402,G4,2,,At,Ct,No_CS
403,G5,2,,At,Ct,No_CS
404,G6,2,,At,Ct,No_CS
405,G7,2,,At,Ml,No_CS
406,G8,2,,At,Ml,No_CS
407,G9,2,,At,Ml,No_CS
408,G10,2,,At,Oa,No_CS
409,G11,2,,At,Oa,No_CS
410,G12,2,,At,Oa,No_CS
411,H1,2,54000000.0,At,At,At_mannose
412,H2,2,62000000.0,At,At,At_mannose
413,H3,2,220000000.0,At,At,At_mannose
414,H4,2,,At,Ct,Ct_isoleucine
415,H5,2,,At,Ct,Ct_isoleucine
416,H6,2,,At,Ct,Ct_isoleucine
417,H7,2,,At,Ml,Ml_mannose
418,H8,2,,At,Ml,Ml_mannose
419,H9,2,,At,Ml,Ml_mannose
420,H10,2,,At,Oa,Oa_mannose
421,H11,2,,At,Oa,Oa_mannose
422,H12,2,,At,Oa,Oa_mannose
423,Inoculum,0,206896.55172413794,Ct,,
424,Inoculum,0,118226.60098522168,Ct,,
425,Inoculum,0,177339.90147783252,Ct,,
426,Inoculum,0,177339.90147783252,Ct,,
427,A1,2,10600000.0,Ct,Ct,At_mannose
428,A2,2,,Ct,Ml,At_mannose
429,A3,2,,Ct,Oa,At_mannose
430,A4,2,9000000.0,Ct,Ct+Ml,At_mannose
431,A5,2,9000000.0,Ct,Ct+Oa,At_mannose
432,A6,2,,Ct,Ml+Oa,At_mannose
433,A7,2,,Ct,At,Ml_mannose
434,A8,2,860000000.0,Ct,Ct,Ml_mannose
435,A9,2,,Ct,Oa,Ml_mannose
436,A10,2,840000000.0,Ct,At+Ct,Ml_mannose
437,A11,2,,Ct,At+Oa,Ml_mannose
438,A12,2,400000000.0,Ct,Ct+Oa,Ml_mannose
439,B1,2,8200000.0,Ct,Ct,At_mannose
440,B2,2,,Ct,Ml,At_mannose
441,B3,2,,Ct,Oa,At_mannose
442,B4,2,7800000.0,Ct,Ct+Ml,At_mannose
443,B5,2,9000000.0,Ct,Ct+Oa,At_mannose
444,B6,2,,Ct,Ml+Oa,At_mannose
445,B7,2,,Ct,At,Ml_mannose
446,B8,2,720000000.0,Ct,Ct,Ml_mannose
447,B9,2,,Ct,Oa,Ml_mannose
448,B10,2,580000000.0,Ct,At+Ct,Ml_mannose
449,B11,2,,Ct,At+Oa,Ml_mannose
450,B12,2,600000000.0,Ct,Ct+Oa,Ml_mannose
451,C2,2,,Ct,Ml,At_mannose
452,C3,2,,Ct,Oa,At_mannose
453,C4,2,7600000.0,Ct,Ct+Ml,At_mannose
454,C5,2,5200000.0,Ct,Ct+Oa,At_mannose
455,C6,2,,Ct,Ml+Oa,At_mannose
456,C7,2,,Ct,At,Ml_mannose
457,C8,2,760000000.0,Ct,Ct,Ml_mannose
458,C9,2,,Ct,Oa,Ml_mannose
459,C10,2,540000000.0,Ct,At+Ct,Ml_mannose
460,C11,2,,Ct,At+Oa,Ml_mannose
461,C12,2,520000000.0,Ct,Ct+Oa,Ml_mannose
462,D1,2,,Ct,At,Ct_isoleucine
463,D2,2,,Ct,Ml,Ct_isoleucine
464,D3,2,,Ct,Oa,Ct_isoleucine
465,D4,2,,Ct,At+Ml,Ct_isoleucine
466,D5,2,,Ct,At+Oa,Ct_isoleucine
467,D6,2,,Ct,Ml+Oa,Ct_isoleucine
468,D7,2,,Ct,At,Oa_mannose
469,D8,2,12400000.0,Ct,Ct,Oa_mannose
470,D9,2,,Ct,Ml,Oa_mannose
471,D10,2,14400000.0,Ct,At+Ct,Oa_mannose
472,D11,2,,Ct,At+Ml,Oa_mannose
473,D12,2,9600000.0,Ct,Ct+Ml,Oa_mannose
474,E1,2,,Ct,At,Ct_isoleucine
475,E2,2,,Ct,Ml,Ct_isoleucine
476,E3,2,,Ct,Oa,Ct_isoleucine
477,E4,2,,Ct,At+Ml,Ct_isoleucine
478,E5,2,,Ct,At+Oa,Ct_isoleucine
479,E6,2,,Ct,Ml+Oa,Ct_isoleucine
480,E7,2,,Ct,At,Oa_mannose
481,E8,2,11400000.0,Ct,Ct,Oa_mannose
482,E9,2,,Ct,Ml,Oa_mannose
483,E10,2,16800000.0,Ct,At+Ct,Oa_mannose
484,E11,2,,Ct,At+Ml,Oa_mannose
485,E12,2,14600000.0,Ct,Ct+Ml,Oa_mannose
486,F1,2,,Ct,At,Ct_isoleucine
487,F2,2,,Ct,Ml,Ct_isoleucine
488,F3,2,,Ct,Oa,Ct_isoleucine
489,F4,2,,Ct,At+Ml,Ct_isoleucine
490,F5,2,,Ct,At+Oa,Ct_isoleucine
491,F6,2,,Ct,Ml+Oa,Ct_isoleucine
492,F7,2,,Ct,At,Oa_mannose
493,F8,2,15800000.0,Ct,Ct,Oa_mannose
494,F9,2,,Ct,Ml,Oa_mannose
495,F10,2,14600000.0,Ct,At+Ct,Oa_mannose
496,F11,2,,Ct,At+Ml,Oa_mannose
497,F12,2,12000000.0,Ct,Ct+Ml,Oa_mannose
498,G1,2,,Ct,At,No_CS
499,G2,2,,Ct,At,No_CS
500,G3,2,,Ct,At,No_CS
501,G4,2,2400000.0,Ct,Ct,No_CS
502,G5,2,4200000.0,Ct,Ct,No_CS
503,G6,2,4400000.0,Ct,Ct,No_CS
504,G7,2,,Ct,Ml,No_CS
505,G8,2,,Ct,Ml,No_CS
506,G9,2,,Ct,Ml,No_CS
507,G10,2,,Ct,Oa,No_CS
508,G11,2,,Ct,Oa,No_CS
509,G12,2,,Ct,Oa,No_CS
510,H1,2,,Ct,At,At_mannose
511,H2,2,,Ct,At,At_mannose
512,H3,2,,Ct,At,At_mannose
513,H4,2,10800000.0,Ct,Ct,Ct_isoleucine
514,H5,2,10600000.0,Ct,Ct,Ct_isoleucine
515,H6,2,11000000.0,Ct,Ct,Ct_isoleucine
516,H7,2,,Ct,Ml,Ml_mannose
517,H8,2,,Ct,Ml,Ml_mannose
518,H9,2,,Ct,Ml,Ml_mannose
519,H10,2,,Ct,Oa,Oa_mannose
