,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
66,A9,2,1080000000.0,Oa,Oa,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
67,B3,2,460000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
68,B5,2,168000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
69,B6,2,380000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
70,C3,2,340000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
71,C5,2,178000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
72,C6,2,180000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
73,C9,2,920000000.0,Oa,Oa,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
74,C11,2,920000000.0,Oa,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
75,D3,2,380000000.0,Oa,Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
76,D5,2,460000000.0,Oa,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
77,D6,2,380000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
78,E3,2,700000000.0,Oa,Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
79,E6,2,460000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
80,F3,2,600000000.0,Oa,Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
81,F6,2,500000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
82,G10,2,32000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
83,G11,2,32000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
84,G12,2,32000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
85,H11,2,132000000.0,Oa,Oa,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
86,H12,2,112000000.0,Oa,Oa,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
87,A7,2,480000000.0,At,At,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
