,Sample ID,Medium no.,Medium,Species,Timepoint,Hours,OD600
280,6B,6,MM-,Oa,9,44.0,0.141
281,6C,6,MM-,Oa,9,44.0,0.138
282,7A,7,MM- + Thiamine,Oa,9,44.0,1.629
283,7B,7,MM- + Thiamine,Oa,9,44.0,1.659
284,7C,7,MM- + Thiamine,Oa,9,44.0,1.698
285,8A,8,MM- + AA,Ml,9,44.0,0.446
286,8B,8,MM- + AA,Ml,9,44.0,0.467
287,8C,8,MM- + AA,Ml,9,44.0,0.495
288,9A,9,MM- + AA + Thiamine,Ml,9,44.0,0.696
289,9B,9,MM- + AA + Thiamine,Ml,9,44.0,0.696
290,9C,9,MM- + AA + Thiamine,Ml,9,44.0,0.682
291,10A,10,MM- + AA + Biotin,Ml,9,44.0,0.863
292,10B,10,MM- + AA + Biotin,Ml,9,44.0,0.893
293,10C,10,MM- + AA + Biotin,Ml,9,44.0,0.885
294,11A,11,MM- + AA + Biotin + Thiamine,Ml,9,44.0,1.628
295,11B,11,MM- + AA + Biotin + Thiamine,Ml,9,44.0,1.627
296,11C,11,MM- + AA + Biotin + Thiamine,Ml,9,44.0,1.638
297,1A,1,No AA,Ml,10,51.0,0.015
298,1B,1,No AA,Ml,10,51.0,0.018
299,1C,1,No AA,Ml,10,51.0,0.01
300,2A,2,Cysteine,Ml,10,51.0,0.104
301,2B,2,Cysteine,Ml,10,51.0,0.209
302,2C,2,Cysteine,Ml,10,51.0,0.176
303,3A,3,Proline,Ml,10,51.0,0.009
304,3B,3,Proline,Ml,10,51.0,0.019
305,3C,3,Proline,Ml,10,51.0,0.006
306,4A,4,Cysteine + Proline,Ml,10,51.0,1.385
307,4B,4,Cysteine + Proline,Ml,10,51.0,1.388
308,4C,4,Cysteine + Proline,Ml,10,51.0,1.294
309,5A,5,All AA,Ml,10,51.0,1.735
310,5B,5,All AA,Ml,10,51.0,1.773
311,5C,5,All AA,Ml,10,51.0,1.713
312,6A,6,MM-,Oa,10,51.0,0.162
313,6B,6,MM-,Oa,10,51.0,0.165
314,6C,6,MM-,Oa,10,51.0,0.163
315,7A,7,MM- + Thiamine,Oa,10,51.0,2.006
316,7B,7,MM- + Thiamine,Oa,10,51.0,2.136
317,7C,7,MM- + Thiamine,Oa,10,51.0,1.872
318,8A,8,MM- + AA,Ml,10,51.0,0.485
319,8B,8,MM- + AA,Ml,10,51.0,0.484
320,8C,8,MM- + AA,Ml,10,51.0,0.52
321,9A,9,MM- + AA + Thiamine,Ml,10,51.0,0.743
322,9B,9,MM- + AA + Thiamine,Ml,10,51.0,0.813
323,9C,9,MM- + AA + Thiamine,Ml,10,51.0,0.75
324,10A,10,MM- + AA + Biotin,Ml,10,51.0,0.923
325,10B,10,MM- + AA + Biotin,Ml,10,51.0,0.932
326,10C,10,MM- + AA + Biotin,Ml,10,51.0,0.946
327,11A,11,MM- + AA + Biotin + Thiamine,Ml,10,51.0,1.627
